       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2016 (Casos Nuevos Notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total general
Hipotermia(T68),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,2
Infección asintomática por VIH(Z21),,,,,,,,,,,,,1,1,2,,6,6,1,9,10,1,,1,3,1,4,1,2,3,,,,26
Infección asociada a la atención de la salud(S/C),,,,,,,,,,1,1,2,1,,1,,,,6,5,11,2,2,4,11,5,16,3,2,5,13,5,18,57
"Infección de vías urinarias(N30, N34, N39.0)",126,44,170,925,283,1208,1432,489,1921,928,359,1287,1090,322,1412,845,227,1072,6393,1481,7874,2626,750,3376,5629,1737,7366,2467,968,3435,7916,3281,11197,40318
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,,,1,,1,4,3,7,31,10,41,8,4,12,16,4,20,5,1,6,2,1,3,90
Infección por virus Zika(A92.5),1,,1,,1,1,1,1,2,2,,2,,,,,,,7,1,8,,1,1,,,,,,,2,,2,17
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",472,583,1055,2747,3237,5984,2426,2717,5143,1990,2419,4409,1333,1438,2771,689,527,1216,4085,3415,7500,1538,1232,2770,2969,2010,4979,1241,870,2111,3422,1988,5410,43348
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",3925,4299,8224,16390,17914,34304,14213,14083,28296,10348,10798,21146,6691,5992,12683,3364,2700,6064,20848,14159,35007,8405,5187,13592,18218,10852,29070,7628,4846,12474,17281,11127,28408,229268
Influenza(J09-J11),,1,1,15,12,27,17,19,36,14,22,36,16,15,31,5,5,10,59,27,86,33,13,46,73,29,102,20,13,33,33,37,70,478
Insuficiencia venosa periférica(I87.2),,,,,,,,,,,1,1,1,4,5,3,,3,216,44,260,148,34,182,422,110,532,207,60,267,660,241,901,2151
Intoxicación alimentaria bacteriana(A05),2,1,3,14,14,28,17,18,35,10,12,22,4,3,7,1,,1,18,13,31,7,5,12,9,9,18,6,2,8,12,8,20,185
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,2,4,6,4,1,5,2,2,4,6,2,8,1,3,4,15,11,26,5,3,8,15,3,18,2,7,9,10,8,18,106
Intoxicación por plaguicidas(T60),,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,2
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,,1,1,1,1,2,1,3,4,,2,2,,,,6,11,17,,1,1,3,1,4,1,1,2,1,1,2,35
Labio y paladar hendido(Q35-Q37),,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2
Leptospirosis(A27),,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,2,3
Microcefalia(Q02),,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Mordedura por serpiente(T63.0, X20)",,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1
Mordeduras por otros mamíferos(W55),,,,3,3,6,6,11,17,3,8,11,10,3,13,4,2,6,10,10,20,14,1,15,9,8,17,4,5,9,15,7,22,136
Mordeduras por perro(W54),,1,1,16,28,44,37,57,94,43,43,86,27,41,68,17,17,34,82,65,147,48,27,75,80,75,155,30,24,54,86,82,168,926
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",12,18,30,26,34,60,12,12,24,2,5,7,3,5,8,2,2,4,22,23,45,8,5,13,28,38,66,13,26,39,197,173,370,666
Obesidad(E66),6,8,14,47,41,88,251,312,563,437,514,951,253,225,478,96,104,200,839,1225,2064,328,440,768,457,632,1089,118,141,259,129,138,267,6741
Otitis media aguda(H65.0-H65.1),39,31,70,250,274,524,222,206,428,125,127,252,98,68,166,41,27,68,213,139,352,78,58,136,149,107,256,60,61,121,129,76,205,2578
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",8,9,17,224,235,459,370,394,764,246,260,506,146,141,287,29,31,60,249,179,428,94,70,164,187,159,346,66,64,130,131,124,255,3416
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,,,,,,,1,,1,1,,1,,,,1,1,2,,,,,,,,,,1,1,2,6
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",,,,,,,,1,1,,1,1,,,,,2,2,3,1,4,,,,1,1,2,,,,1,1,2,12
Otras salmonelosis(A02),,,,1,3,4,8,13,21,16,11,27,18,10,28,11,3,14,55,18,73,23,13,36,31,11,42,7,4,11,23,5,28,284
Parálisis flácida aguda(U98),,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1
Parotiditis infecciosa(B26),,,,3,7,10,4,7,11,2,1,3,2,2,4,2,4,6,5,5,10,4,,4,5,3,8,3,1,4,,,,60
Peatón lesionado en accidente de transporte(V01-V09),,,,1,,1,,1,1,1,1,2,5,1,6,1,1,2,3,4,7,2,,2,3,1,4,3,4,7,2,4,6,38
Quemaduras(T20-T32),,3,3,23,35,58,23,26,49,34,35,69,29,25,54,28,19,47,203,142,345,74,73,147,115,68,183,57,29,86,102,64,166,1207
Shigelosis(A03),,,,1,,1,2,1,3,,2,2,,,,,,,1,,1,,,,1,,1,,,,,,,8
Sífilis adquirida(A51-A53),,,,,,,,,,,,,,,,,,,1,,1,1,,1,,1,1,,,,,,,3
Síndrome coqueluchoide(U99),2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Síndrome de inmunodeficiencia adquirida(B20-B24),,,,,,,,,,,,,,,,,2,2,1,9,10,,2,2,1,,1,,1,1,,,,16
"Síndrome meníngeo(G00-G03 EXCEPTO G00.0, G00.1)",,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,2
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,,,,4,2,6,1,,1,1,,1,,,,,,,8
Tripanosomiasis americana (enfermedad de Chagas) crónica(B57.2-B57.5),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,,,,,,,,,,1,1,2,2,4,3,,3,2,1,3,2,,2,1,3,4,17
Tuberculosis respiratoria(A15-A16),,,,,,,,,,,,,2,,2,1,1,2,7,5,12,5,6,11,9,7,16,1,5,6,13,22,35,84
Tumor maligno de la mama(C50),,,,,,,,,,,,,,,,,,,16,,16,16,1,17,42,1,43,36,,36,66,,66,178
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,11,,11,4,,4,8,,8,4,,4,9,,9,36
"Úlceras, gastritis y duodenitis(K25-K29)",,2,2,18,18,36,80,71,151,294,218,512,259,208,467,194,207,401,867,476,1343,289,140,429,501,349,850,198,141,339,598,404,1002,5532
Varicela(B01),14,16,30,113,136,249,147,144,291,79,86,165,27,20,47,16,14,30,53,87,140,7,7,14,10,9,19,3,1,4,4,8,12,1001
Violencia intrafamiliar(Y07.0-Y07.2),,,,,,,,1,1,1,,1,2,,2,,,,8,1,9,1,,1,2,,2,,,,,3,3,19
Vulvovaginitis(N76),,,,9,,9,19,,19,30,,30,44,,44,99,,99,817,,817,194,,194,300,,300,79,,79,106,,106,1697
Total general,4868,5321,10189,22066,23641,45707,20768,20266,41034,16132,16583,32715,11360,9696,21056,6418,4562,10980,41847,27013,68860,16429,10385,26814,34346,20724,55070,14389,9323,23712,36289,22470,58759,394896
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2018 (Casos Nuevos Notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,TOTAL
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",1,,1,2,6,8,7,4,11,14,12,26,14,29,43,21,28,49,76,98,174,13,24,37,27,37,64,6,10,16,16,14,30,459
"Amebiasis intestinal(A06.0-A06.3, A06.9)",20,13,33,31,31,62,26,31,57,10,10,20,16,10,26,5,2,7,44,40,84,13,15,28,30,26,56,6,11,17,35,13,48,438
"Anorexia, bulimia y otros trastornos alimentarios(F50)",1,,1,2,7,9,9,11,20,9,3,12,15,8,23,,1,1,3,6,9,2,2,4,2,2,4,2,2,4,4,2,6,93
Ascariasis(B77),,,,1,1,2,3,,3,2,,2,1,,1,,,,,,,,1,1,2,,2,,,,,1,1,12
"Asma(J45, J46)",10,14,24,176,273,449,147,208,355,84,92,176,51,35,86,28,10,38,153,53,206,48,17,65,105,47,152,41,19,60,108,48,156,1767
Bocio endémico(E01),,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1
Brucelosis(A23),,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,,,2
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,6,,6,9,1,10,16,2,18,154,9,163,58,8,66,58,8,66,19,,19,33,6,39,387
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,,,1,3,4,1,15,16,,5,5,1,13,14,39
Cisticercosis(B69),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1
Conjuntivitis epidémica aguda hemorrágica(B30.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Conjuntivitis(H10),123,166,289,494,580,1074,490,546,1036,373,419,792,276,217,493,187,138,325,1621,1594,3215,627,617,1244,1403,1040,2443,615,490,1105,1457,1112,2569,14591
"Contacto traumático con avispas, avispones y abejas(X23)",,1,1,1,1,2,2,5,7,2,4,6,2,2,4,1,3,4,13,19,32,2,9,11,12,5,17,2,3,5,1,5,6,95
Dengue con signos de alarma(A97.1),,,,,,,2,2,4,3,1,4,1,5,6,3,,3,7,4,11,,3,3,6,6,12,,1,1,2,5,7,51
Dengue grave(A97.2),,,,,2,2,3,1,4,2,,2,1,2,3,,1,1,3,4,7,,2,2,1,,1,,,,1,2,3,25
"Dengue no grave(A97.0, A97.9)",1,,1,8,8,16,29,30,59,25,39,64,25,25,50,7,10,17,41,49,90,12,15,27,29,25,54,5,2,7,12,20,32,417
Depresión(F32),,,,,,,2,,2,26,19,45,37,22,59,14,15,29,117,40,157,40,13,53,108,25,133,57,23,80,199,76,275,835
Desnutrición leve(E44.1),1,3,4,4,4,8,9,6,15,2,5,7,2,2,4,1,2,3,2,,2,2,,2,,,,,,,3,,3,48
Desnutrición moderada(E44.0),2,1,3,4,3,7,1,3,4,2,1,3,1,1,2,,,,,,,,,,2,2,4,,,,,3,3,26
Desnutrición severa(E40-E43),2,,2,,1,1,1,3,4,3,2,5,2,,2,,,,6,7,13,,1,1,2,6,8,1,,1,1,3,4,41
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,3,,3,61,,61,1,,1,,,,,,,,,,65
Diabetes mellitus tipo 1(E10),,,,,,,1,1,2,2,1,3,,,,1,2,3,,,,,,,,,,,,,,,,9
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,2,1,3,,3,3,6,4,10,265,278,543,171,183,354,412,395,807,149,167,316,275,216,491,2527
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,,,,3,,3,5,,5,72,,72,23,,23,30,,30,11,,11,2,,2,146
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,2,,2,19,,19,2,,2,3,,3,1,,1,3,,3,30
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,6,,6,29,,29,1,,1,,,,,,,,,,36
"Efectos del calor y de la luz(T67, X30)",,,,,,,,,,1,1,2,2,1,3,,,,4,2,6,2,,2,3,5,8,1,1,2,4,3,7,30
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,,,,,,,,,,3,3,3,10,13,1,6,7,,10,10,33
"Enfermedad cerebrovascular(I60-I67, I69)",,,,1,,1,,,,4,1,5,,,,4,1,5,16,19,35,8,20,28,46,73,119,37,57,94,357,348,705,998
Enfermedad de Alzheimer(G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,13,13
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,,2,2,,2,2,1,5,6,1,3,4,22,31,53,67
Enfermedad febril exantemática(U97),,,,5,,5,,2,2,,1,1,,1,1,,,,,,,,,,,,,,,,,,,9
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,,3,3,,1,1,16,44,60,18,34,52,98,195,293,84,111,195,370,419,789,1394
Enfermedad por virus Chikungunya(A92.0),,,,,,,,,,,,,,,,,,,6,1,7,4,2,6,,,,,,,,1,1,14
"Enfermedad pulmonar obstructiva crónica (EPOC)(J41-J42, J44)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,11,11
Enterobiasis(B80),,,,1,,1,1,,1,1,,1,,2,2,,,,,1,1,,,,,1,1,,,,2,1,3,10
Erisipela(A46),,,,,1,1,,,,,,,,,,,1,1,10,21,31,2,5,7,9,27,36,8,11,19,54,52,106,201
Escabiosis(B86),17,20,37,61,65,126,75,101,176,54,73,127,35,41,76,15,13,28,89,57,146,42,33,75,82,69,151,39,35,74,96,80,176,1192
Escarlatina(A38),,,,1,4,5,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,15
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",,,,2,3,5,1,,1,1,,1,,,,,,,3,,3,1,1,2,1,1,2,2,1,3,1,1,2,19
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",1,,1,1,7,8,5,7,12,5,1,6,6,2,8,1,2,3,8,10,18,8,4,12,9,3,12,,2,2,9,8,17,99
Fiebre paratifoidea(A01.1-A01.4),,,,,,,1,1,2,1,,1,1,1,2,1,,1,7,1,8,,,,3,1,4,2,,2,2,2,4,24
Fiebre reumática aguda(I00-I02),,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Fiebre tifoidea(A01.0),,,,2,2,4,7,7,14,13,11,24,7,1,8,2,1,3,20,5,25,3,1,4,14,6,20,7,3,10,12,11,23,135
Giardiasis(A07.1),,2,2,2,5,7,5,3,8,,3,3,1,1,2,,,,1,1,2,,,,3,,3,,,,2,,2,29
Gingivitis y enfermedad periodontal(K05),1,1,2,69,53,122,255,245,500,473,429,902,587,494,1081,468,334,802,2502,1730,4232,993,748,1741,2134,1750,3884,1015,866,1881,2101,1873,3974,19129
Hepatitis vírica A(B15),,,,1,,1,1,,1,,,,,2,2,1,2,3,4,1,5,,,,,,,,,,1,1,2,14
Hepatitis vírica B(B16),,,,,,,,,,,,,,,,,,,2,2,4,,1,1,,,,,,,,1,1,6
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,,,,2,1,3,7
Herida por arma de fuego y punzocortantes(W32-W34),,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,,,,,,,3
Herpes genital(A60.0),,,,,,,,,,,,,,3,3,,2,2,4,6,10,,2,2,3,1,4,,2,2,,3,3,26
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,7,7,,27,27,,129,129,,114,114,,269,269,546
Hipertensión arterial(I10-I15),,,,,,,,,,,,,6,5,11,9,14,23,314,362,676,215,205,420,426,445,871,183,183,366,352,319,671,3040
Infección asintomática por VIH(Z21),,,,,,,,,,,,,,3,3,,7,7,5,12,17,2,4,6,2,3,5,,4,4,,3,3,45
"Infección de vías urinarias(N30, N34, N39.0)",121,48,169,930,305,1235,1340,479,1819,857,320,1177,1140,332,1472,880,229,1109,6650,1568,8218,2752,816,3568,6004,1846,7850,2784,1061,3845,8922,3729,12651,43153
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,,,7,2,9,8,,8,45,15,60,8,1,9,10,,10,4,2,6,4,2,6,108
Infección por virus Zika(A92.5),,,,1,,1,,1,1,,1,1,,,,,,,5,2,7,,,,1,,1,,,,,,,11
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",426,523,949,2652,2961,5613,2199,2485,4684,1841,2155,3996,1365,1339,2704,683,530,1213,4162,3505,7667,1614,1279,2893,3169,2264,5433,1354,902,2256,3728,2169,5897,43314
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",3507,3774,7281,16131,17557,33688,14185,14679,28864,10095,10281,20376,6341,5798,12139,3387,2536,5923,20389,14179,34568,8554,5402,13956,18539,11133,29672,7910,4909,12819,17785,11465,29250,228754
Influenza(J09-J11),5,3,8,19,25,44,22,16,38,5,8,13,12,13,25,3,5,8,53,40,93,22,9,31,33,27,60,15,7,22,58,47,105,447
Insuficiencia venosa periférica(I87.2),,,,,,,,,,,,,1,6,7,3,,3,201,56,257,139,37,176,358,95,453,179,66,245,570,191,761,1902
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,,,,,,,,2,2,1,,1,2,,2,,,,,3,3,8
Intoxicación alimentaria bacteriana(A05),1,,1,10,12,22,6,6,12,3,6,9,2,2,4,4,4,8,5,17,22,2,1,3,16,7,23,7,3,10,3,3,6,120
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,1,2,3,1,2,3,4,1,5,4,5,9,2,,2,5,7,12,7,3,10,10,6,16,4,4,8,8,7,15,83
Intoxicación por plaguicidas(T60),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,,3,3,1,1,2,1,,1,1,,1,,1,1,5,5,10,1,1,2,,3,3,1,,1,1,3,4,28
Labio y paladar hendido(Q35-Q37),1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Leptospirosis(A27),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,2,3
Mordeduras por otros mamíferos(W55),,,,4,1,5,4,6,10,5,2,7,7,5,12,4,,4,19,9,28,8,11,19,10,11,21,4,2,6,19,20,39,151
Mordeduras por perro(W54),,,,21,19,40,45,47,92,35,59,94,30,56,86,18,20,38,94,105,199,46,36,82,83,70,153,22,50,72,82,92,174,1030
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",6,11,17,35,33,68,12,12,24,1,2,3,2,4,6,1,4,5,19,20,39,10,10,20,29,34,63,21,18,39,266,222,488,774
Obesidad(E66),9,5,14,78,61,139,437,479,916,657,765,1422,433,377,810,128,145,273,1154,1692,2846,444,628,1072,588,800,1388,163,171,334,201,150,351,9568
Otitis media aguda(H65.0-H65.1),23,30,53,258,253,511,221,198,419,128,132,260,61,67,128,37,31,68,197,147,344,105,55,160,146,95,241,54,53,107,91,73,164,2455
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",4,8,12,189,169,358,280,299,579,215,195,410,117,99,216,30,33,63,193,130,323,65,51,116,112,92,204,42,54,96,115,91,206,2583
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,1,1,2,1,3,4,1,2,3,,1,1,3,,3,2,6,8,,,,,2,2,,,,,,,23
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",,,,,,,1,1,2,,,,,,,,1,1,1,2,3,,,,3,2,5,1,1,2,2,2,4,17
Otras rickettsiosis(A79),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Otras salmonelosis(A02),,,,1,1,2,9,5,14,28,12,40,29,19,48,14,7,21,62,26,88,22,10,32,27,16,43,14,5,19,22,8,30,337
Parotiditis infecciosa(B26),,,,6,5,11,13,7,20,5,8,13,10,7,17,7,11,18,28,45,73,4,8,12,6,5,11,1,2,3,3,5,8,186
Peatón lesionado en accidente de transporte(V01-V09),,,,1,,1,,1,1,1,3,4,2,1,3,,2,2,5,8,13,3,,3,2,2,4,4,4,8,6,2,8,47
Quemaduras(T20-T32),1,1,2,34,26,60,22,24,46,29,36,65,37,20,57,21,37,58,188,187,375,82,51,133,141,100,241,50,49,99,119,78,197,1334
Sífilis adquirida(A51-A53),,,,,,,,,,,,,1,,1,1,,1,,3,3,,,,,,,,,,,2,2,7
Síndrome coqueluchoide(U99),,,,1,1,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,3
Síndrome de inmunodeficiencia adquirida(B20-B24),,,,,,,,,,,1,1,,,,1,3,4,1,9,10,1,7,8,,5,5,,,,,,,28
Tos ferina(A37),,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Toxoplasmosis(B58),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,,,,2
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,,,,3,1,4,2,,2,,,,,,,,,,6
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",1,,1,1,4,5,,1,1,,,,,,,,,,3,3,6,1,,1,1,,1,,,,1,,1,16
Tuberculosis respiratoria(A15-A16),,,,,,,,,,,,,2,1,3,1,,1,6,4,10,2,2,4,7,14,21,3,6,9,16,21,37,85
Tumor maligno de la mama(C50),,,,,,,,,,1,,1,2,,2,,,,24,,24,28,,28,51,,51,32,2,34,74,1,75,216
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,5,,5,2,,2,7,,7,3,,3,6,,6,23
"Úlceras, gastritis y duodenitis(K25-K29)",2,,2,16,9,25,79,83,162,283,178,461,295,162,457,163,104,267,878,496,1374,303,176,479,496,350,846,229,166,395,592,421,1013,5483
Varicela(B01),14,13,27,95,116,211,137,142,279,65,81,146,31,41,72,4,14,18,39,84,123,9,8,17,5,12,17,,3,3,3,6,9,922
Violencia intrafamiliar(Y07.0-Y07.2),,,,,,,,,,,,,,,,,,,4,,4,3,,3,1,,1,,,,1,,1,9
Vulvovaginitis(N76),,,,10,,10,26,,26,21,,21,55,,55,86,,86,2671,,2671,234,,234,323,,323,59,,59,132,,132,3617
Total general,4301,4638,8939,21364,22622,43986,20129,20200,40329,15401,15377,30778,11088,9279,20367,6296,4313,10609,42815,26859,69674,16789,10608,27397,35256,21357,56613,15257,9672,24929,38384,23803,62187,396110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",1,,1,4,6,10,14,5,19,11,11,22,19,27,46,15,21,36,75,128,203,21,23,44,24,39,63,9,11,20,10,16,26,490
"Amebiasis intestinal(A06.0-A06.3, A06.9)",13,15,28,28,37,65,30,30,60,21,20,41,12,5,17,6,8,14,30,27,57,10,11,21,23,21,44,9,8,17,27,22,49,413
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,2,2,4,3,4,7,6,1,7,8,4,12,1,1,2,5,,5,,,,,2,2,1,,1,1,4,5,45
Ascariasis(B77),,,,1,,1,,,,2,,2,,,,,,,,,,,,,,,,,,,1,0,1,4
"Asma(J45, J46)",7,25,32,193,255,448,162,194,356,71,124,195,48,50,98,26,15,41,119,53,172,32,17,49,84,41,125,33,17,50,65,33,98,1664
Brucelosis(A23),,,,,,,,1,1,,,,,,,,,,2,,2,,,,,,,,,,0,0,0,3
